C,D,E,F,G,H,I,K,N,O,R,S,T,U,V,W,Y,Z
0,22.4266666667,45.4633333333,21.5333333333,43.59,25.39,40.4666666667,38.96,10.3633333333,15.7333333333,23.79,41.43,21.1,44.26,10.5666666667,747.5666666667,4.3333333333,31.3333333333
0,22.39,45.1333333333,21.4633333333,43.6633333333,25.3233333333,40.3266666667,38.7928571429,9.3633333333,27.7333333333,23.8566666667,41.1566666667,21.1,44.245,10.7,747.55,4.5,33.5
0,22.39,45,21.39,43.7233333333,25.29,40.06,38.678,8.66,40.2966666667,23.79,40.6333333333,21.1,44.1333333333,10.8333333333,747.5333333333,4.6666666667,35.6666666667
0,22.39,45.4333333333,21.29,43.9666666667,25.23,40,38.59,8.6,44.63,23.79,40.5,21.1,43.9333333333,10.9666666667,747.5166666667,4.8333333333,37.8333333333
0,22.39,45.36,21.29,43.8266666667,25.2,39.9666666667,38.59,9.0266666667,47.8666666667,23.79,40.59,21.1,43.76,11.1,747.5,5,40
0,22.39,45.8,21.29,43.645,25.2,39.8266666667,38.59,9.36,46.1266666667,23.79,40.6633333333,21.1,43.6266666667,10.5166666667,747.6333333333,4.6666666667,40
0,22.39,46.9333333333,21.29,44.73,25.1,39.79,38.59,9.6,45.2933333333,23.89,41,21.1,43.5,9.9333333333,747.7666666667,4.3333333333,40
0,22.5,47.8666666667,21.23,45.6566666667,25.0333333333,39.79,38.59,9.9333333333,45.2333333333,23.9633333333,41.1333333333,21.1,43.5,9.35,747.9,4,40
0,22.5666666667,52.0666666667,21.29,50.2633333333,24.89,39.9333333333,38.59,10.0333333333,44.8,24,41.53,21.1,43.4666666667,8.7666666667,748.0333333333,3.6666666667,40
0,22.6,56.5566666667,21.29,54.6566666667,24.89,40.1175,38.59,10.1,43.1933333333,24.025,41.6725,21.1,43.3266666667,8.1833333333,748.1666666667,3.3333333333,40
0,22.6666666667,57.4966666667,21.29,56.0266666667,24.89,40.49,38.59,10.19,41.7933333333,24.1,41.7,21.1,43.2,7.6,748.3,3,40
0,22.7,56.0666666667,21.29,54.7666666667,24.8233333333,40.7666666667,38.5642857143,10.19,40.1266666667,24.1,41.6633333333,21.1,43.1266666667,7.7666666667,748.3333333333,3,40
0,22.7,54.8,21.29,52.9566666667,24.8233333333,40.8266666667,38.5,10.46,39.9566666667,24.1,41.53,21.1,43.06,7.9333333333,748.3666666667,3,40
0,22.7,53.2566666667,21.29,51.6966666667,24.79,40.9333333333,38.4857142857,10.7333333333,39.8233333333,24.1666666667,41.4,21.1,43.06,8.1,748.4,3,40
0,22.675,51.7675,21.2,50.3933333333,24.79,41,38.4,11.0333333333,39.3,24.1666666667,41.4,21.1,43.06,8.2666666667,748.4333333333,3,40
0,22.6666666667,50.4933333333,21.2,49.6666666667,24.79,41,38.4,11.16,38.56,24.2,41.3333333333,21.1,42.9333333333,8.4333333333,748.4666666667,3,40
0,22.7,49.6,21.2,49.1933333333,24.79,41,38.2,10.995,34.1,24.2,41.1266666667,21.1,42.8633333333,8.6,748.5,3,40
0,22.76,49.5266666667,21.2,48.8,24.79,40.9666666667,38.41,10.4633333333,32.49,24.2,40.93,21.1,42.6566666667,8.6333333333,748.5166666667,2.8333333333,38.1666666667
0,22.89,48.66,21.1,49.1333333333,24.79,40.9,39.07,10.1966666667,33.1566666667,24.2,40.6566666667,21.1,42.2966666667,8.6666666667,748.5333333333,2.6666666667,36.3333333333
0,22.8233333333,47.9333333333,21.1,48.7266666667,24.7,40.7,39.66,9.9333333333,33.1566666667,24.2,40.59,21.1,41.9633333333,8.7,748.55,2.5,34.5
0,22.8566666667,47.3,21.0666666667,47.7333333333,24.7,40.7,39.9971428571,9.7266666667,32.8966666667,24.26,40.7233333333,21.0666666667,41.49,8.7333333333,748.5666666667,2.3333333333,32.6666666667
10,22.79,46.7666666667,21,47.1933333333,24.7,40.56,40.156,9.3233333333,34.23,24.29,40.86,21,41.0925,8.7666666667,748.5833333333,2.1666666667,30.8333333333
0,22.79,46.1933333333,20.89,46.66,24.7,40.5,40.0514285714,9.13,35.6233333333,24.29,41.1333333333,21,40.7666666667,8.8,748.6,2,29
0,22.79,45.7266666667,20.89,46.2666666667,24.6,40.4,40.016,8.86,36.1333333333,24.29,41.36,21,40.56,8.6666666667,748.6333333333,2.1666666667,30.8333333333
0,22.79,45.2666666667,20.79,45.8,24.6,40.3266666667,39.8214285714,8.7266666667,35.3933333333,24.3566666667,41.56,21,40.4333333333,8.5333333333,748.6666666667,2.3333333333,32.6666666667
0,22.79,44.8,20.7,45.43,24.6,40.26,39.754,8.4633333333,36.8,24.39,41.56,21,40.26,8.4,748.7,2.5,34.5
0,22.79,44.3633333333,20.6333333333,45.1566666667,24.5333333333,40.2,39.7514285714,8.39,37.6,24.39,41.56,21,40.0666666667,8.2666666667,748.7333333333,2.6666666667,36.3333333333
0,22.79,44.49,20.5666666667,45,24.5,40.06,39.714,8.2633333333,38.7966666667,24.4266666667,41.8266666667,20.9266666667,39.93,8.1333333333,748.7666666667,2.8333333333,38.1666666667
0,22.79,44.8633333333,20.5,45,24.5,40,39.59,8.13,39.8633333333,24.5,41.8266666667,21,39.79,8,748.8,3,40
0,22.79,44.73,20.5,44.9666666667,24.5,39.9,39.46,7.7966666667,37.13,24.5,41.645,20.9633333333,39.79,7.9166666667,748.8666666667,2.8333333333,37.8333333333
0,22.79,44.2966666667,20.4266666667,44.9666666667,24.5,39.79,39.3242857143,7.53,36.9233333333,24.5,41.3333333333,20.89,39.79,7.8333333333,748.9333333333,2.6666666667,35.6666666667
0,22.79,43.9633333333,20.39,44.9666666667,24.4266666667,39.73,39.178,7.23,37.2933333333,24.5,41.1266666667,20.89,39.7233333333,7.75,749,2.5,33.5
0,22.76,43.7233333333,20.3233333333,44.8266666667,24.39,39.59,38.9971428571,6.9633333333,38.2933333333,24.5,40.9666666667,20.8233333333,39.4633333333,7.6666666667,749.0666666667,2.3333333333,31.3333333333
0,22.7,43.4633333333,20.29,44.79,24.39,39.59,38.79,6.595,39.3,24.5,40.7666666667,20.8566666667,39.3333333333,7.5833333333,749.1333333333,2.1666666667,29.1666666667
0,22.7,43.245,20.23,44.6566666667,24.29,39.4666666667,38.6757142857,6.23,39.53,24.4633333333,40.6,20.8566666667,39.2,7.5,749.2,2,27
0,22.7,43.0266666667,20.2,44.43,24.29,39.3266666667,38.612,5.9633333333,40.2633333333,24.39,40.3266666667,20.89,39.1633333333,7.1833333333,749.2666666667,2,27
10,22.6333333333,42.6933333333,20.1333333333,44.23,24.29,39.26,38.6214285714,5.56,41.6333333333,24.4266666667,40.23,20.8233333333,38.9633333333,6.8666666667,749.3333333333,2,27
0,22.6666666667,42.53,20.1,44.09,24.23,39.1266666667,38.656,5.4333333333,43.2266666667,24.5,40.43,20.79,38.9333333333,6.55,749.4,2,27
0,22.6,42.53,20.0333333333,44.03,24.2,39.2,38.5385714286,5.2633333333,45.1666666667,24.5333333333,41.0666666667,20.8566666667,39.3933333333,6.2333333333,749.4666666667,2,27
10,22.6,42.26,19.9633333333,44.09,24.2,39.2,38.5,5.0633333333,46.0933333333,24.6,41.6,20.89,39.8266666667,5.9166666667,749.5333333333,2,27
0,22.6,42.2,19.89,44.09,24.2,39.2,38.5,4.8666666667,47.2566666667,24.7,42.2266666667,20.89,40.175,5.6,749.6,2,27
0,22.5666666667,42.06,19.79,44.1933333333,24.26,39.26,38.46,4.7266666667,48.0566666667,24.7,42.6933333333,20.89,40.5266666667,5.4333333333,749.6666666667,2,29.1666666667
0,22.5,41.9333333333,19.73,44.4666666667,24.29,39.3266666667,38.4,4.56,49.0566666667,24.79,43.0666666667,20.79,40.73,5.2666666667,749.7333333333,2,31.3333333333
0,22.5,41.8633333333,19.6666666667,44.73,24.29,39.3266666667,38.4,4.56,50.59,24.79,43.46,20.79,40.8633333333,5.1,749.8,2,33.5
0,22.5,41.73,19.6,44.9475,24.26,39.2233333333,38.4,4.4666666667,51.06,24.73,44.6333333333,20.8233333333,41.1566666667,4.9333333333,749.8666666667,2,35.6666666667
0,22.4633333333,41.6333333333,19.5333333333,45,24.2,39.09,38.4,4.3333333333,51.2666666667,24.73,44.9,20.89,41.3633333333,4.7666666667,749.9333333333,2,37.8333333333
0,22.39,41.5,19.4633333333,45.09,24.2,39.09,38.356,4.1266666667,51.7233333333,24.6666666667,44.7233333333,20.8233333333,41.5666666667,4.6,750,2,40
0,22.39,41.4,19.39,45.09,24.1333333333,39.09,38.3371428571,3.9333333333,51.53,24.5333333333,44.39,20.89,41.76,4.5166666667,750.0333333333,2,40
0,22.3233333333,41.3266666667,19.3566666667,45.1266666667,24.1,39.09,38.356,3.76,51.89,24.5,43.9,20.89,41.9633333333,4.4333333333,750.0666666667,2,40
0,22.29,41.29,19.29,45.26,24.1,39.09,38.3214285714,3.5666666667,51.5566666667,24.5,43.5666666667,20.89,42.1633333333,4.35,750.1,2,40
0,22.29,41.23,19.26,45.26,24.1,39.09,38.2,3.19,50.15,24.39,42.85,20.89,42.3266666667,4.2666666667,750.1333333333,2,40
0,22.29,41.1633333333,19.2,45.2,24.0333333333,39.03,38.2,2.8633333333,50.16,24.3566666667,42.3333333333,20.89,42.4666666667,4.1833333333,750.1666666667,2,40
0,22.23,41.03,19.1666666667,45.2,24.1,39.03,38.2,2.6566666667,49.4933333333,24.29,42.2,20.8233333333,42.5666666667,4.1,750.2,2,40
0,22.2,40.9,19.1,45.2,24.0666666667,38.9666666667,38.2,2.3333333333,48.9333333333,24.29,42.09,20.89,42.76,3.9833333333,750.2666666667,1.8333333333,40
0,22.2,40.8633333333,19.0666666667,45.2,24,38.9,38.156,2.2,49.4666666667,24.23,41.9633333333,20.79,42.8266666667,3.8666666667,750.3333333333,1.6666666667,40
0,22.2,40.73,19,45.2,24,38.9,38.09,2.09,50.13,24.1666666667,41.6633333333,20.79,42.9666666667,3.75,750.4,1.5,40
0,22.1666666667,40.6633333333,18.89,45.2,24,38.8266666667,38.09,2.1633333333,51.2566666667,24.1,41.39,20.89,43.23,3.6333333333,750.4666666667,1.3333333333,40
0,22.1,40.59,18.8233333333,45.1266666667,24,38.79,38.09,2.29,52.26,24,40.93,20.89,43.29,3.5166666667,750.5333333333,1.1666666667,40
0,22.1,40.5,18.79,45.1266666667,24,38.73,38.09,2.23,51.8666666667,23.9266666667,40.73,20.79,43.3266666667,3.4,750.6,1,40
0,22.1,40.5,18.73,45.2,23.89,38.73,38.09,2.0266666667,51.1933333333,23.89,40.59,20.865,43.4975,3.4833333333,750.7,1,40
0,22.0666666667,40.3633333333,18.7,45.2,23.89,38.79,38.09,1.8266666667,50.86,23.8233333333,40.53,20.89,43.59,3.5666666667,750.8,1,40
0,22,40.29,18.7,45.2,23.89,38.79,38.09,1.73,50.9666666667,23.79,40.5,20.89,43.73,3.65,750.9,1,40
0,22,40.26,18.7,45.2,23.89,38.79,38.036,1.8633333333,51.56,23.73,40.5,20.89,43.8633333333,3.7333333333,751,1,40
0,22,40.2,18.625,45.1175,23.89,38.7,38.0771428571,1.79,51.2966666667,23.7,40.7666666667,20.8233333333,43.86,3.8166666667,751.1,1,40
0,21.89,40.09,18.6,45.1633333333,23.89,38.7,38,1.6633333333,50.89,23.7,40.9,20.89,44.06,3.9,751.2,1,40
0,21.89,40.09,18.5,45.09,23.89,38.59,38,1.4633333333,50.89,23.6,41.0666666667,20.89,44.23,3.55,751.2166666667,1,44.1666666667
0,21.89,40.06,18.5,45.09,23.89,38.59,38,1.5475,51.7225,23.5333333333,41.26,20.89,44.3633333333,3.2,751.2333333333,1,48.3333333333
0,21.89,40,18.5,45.2,23.8566666667,38.56,38,1.6,52,23.5,41.4,20.79,44.4,2.85,751.25,1,52.5
0,21.8566666667,39.9666666667,18.4266666667,45.1266666667,23.79,38.5,38,1.53,51.7333333333,23.5,41.3266666667,20.8566666667,44.5266666667,2.5,751.2666666667,1,56.6666666667
0,21.79,39.9,18.39,45.09,23.79,38.5,37.98,1.3233333333,51.1933333333,23.39,41.26,20.8233333333,44.5666666667,2.15,751.2833333333,1,60.8333333333
0,21.79,39.79,18.39,45.09,23.79,38.4333333333,37.9,1.0666666667,50.79,23.39,41.095,20.8233333333,44.6266666667,1.8,751.3,1,65
0,21.79,39.79,18.29,45.09,23.73,38.5,37.9,0.9333333333,50.73,23.39,40.86,20.79,44.6266666667,1.7166666667,751.3666666667,1,64.5
0,21.76,39.79,18.29,45.09,23.73,38.4,37.9,0.7666666667,50.6333333333,23.29,40.73,20.8566666667,44.76,1.6333333333,751.4333333333,1,64
0,21.7,39.7225,18.26,45,23.73,38.4,37.878,0.6333333333,50.36,23.29,40.73,20.89,44.79,1.55,751.5,1,63.5
0,21.7,39.7,18.2,45,23.7,38.4,37.8685714286,0.5,50.7,23.26,40.53,20.8233333333,44.79,1.4666666667,751.5666666667,1,63
0,21.7,39.59,18.2,44.9,23.7,38.3266666667,37.79,0.5,50.76,23.2,40.59,20.89,44.9,1.3833333333,751.6333333333,1,62.5
0,21.6333333333,39.59,18.1333333333,44.9,23.7,38.26,37.7771428571,0.4666666667,51.2566666667,23.2,40.5266666667,20.8233333333,44.8266666667,1.3,751.7,1,62
0,21.6,39.59,18.1,44.9,23.7,38.2,37.754,0.4666666667,52.13,23.2,40.3266666667,20.8233333333,44.8266666667,1.2166666667,751.7166666667,1,59.1666666667
0,21.6,39.53,18.1,44.9,23.7,38.23,37.7257142857,0.8,53.4933333333,23.1,40.1,20.84,44.925,1.1333333333,751.7333333333,1,56.3333333333
0,21.6,39.5,18.0666666667,44.8633333333,23.6333333333,38.23,37.7,1.0666666667,54.0266666667,23.1,39.7666666667,20.8233333333,45,1.05,751.75,1,53.5
0,21.5333333333,39.5,18,44.79,23.6,38.26,37.6528571429,1.0666666667,53.7233333333,23,39.43,20.79,45.03,0.9666666667,751.7666666667,1,50.6666666667
0,21.5,39.5,18,44.73,23.5333333333,38.2,37.7,0.975,53.5975,23,39.23,20.79,45.09,0.8833333333,751.7833333333,1,47.8333333333
0,21.5,39.4333333333,17.9175,44.745,23.5,38.2,37.7,1.2266666667,54.3933333333,22.9633333333,38.9666666667,20.79,45.2,0.8,751.8,1,45
0,21.4633333333,39.4,17.89,44.79,23.5,38.2,37.7,1.3566666667,54.56,22.89,38.7666666667,20.79,45.26,0.95,751.85,1,48.3333333333
0,21.39,39.4,17.89,44.76,23.4266666667,38.0666666667,37.7,1.29,54.36,22.89,38.56,20.79,45.29,1.1,751.9,1,51.6666666667
0,21.39,39.4,17.89,44.76,23.5,38.1266666667,37.678,1.2,53.9566666667,22.8233333333,38.4333333333,20.79,45.29,1.25,751.95,1,55
0,21.39,39.4,17.79,44.7,23.39,38,37.6685714286,1.3266666667,54.7633333333,22.79,38.26,20.79,45.29,1.4,752,1,58.3333333333
0,21.3566666667,39.4,17.79,44.7,23.39,38,37.7,1.5333333333,55.2666666667,22.79,38.2,20.79,45.29,1.55,752.05,1,61.6666666667
0,21.29,39.4,17.79,44.7,23.39,37.95,37.7,1.7266666667,55.66,22.7,38.06,20.79,45.29,1.7,752.1,1,65
0,21.29,39.4,17.79,44.6266666667,23.3233333333,38,37.7,1.9633333333,56.0966666667,22.7,38,20.79,45.29,1.7166666667,752.1666666667,1,57.8333333333
0,21.29,39.4,17.79,44.56,23.3233333333,38,37.7,2.1633333333,56.3633333333,22.6,38.03,20.79,45.29,1.7333333333,752.2333333333,1,50.6666666667
0,21.29,39.4,17.79,44.5,23.39,38,37.7,2.2,56.5,22.6,38.1175,20.79,45.29,1.75,752.3,1,43.5
0,21.23,39.3266666667,17.79,44.5,23.39,38,37.6214285714,2.2,56.36,22.6,38.26,20.79,45.29,1.7666666667,752.3666666667,1,36.3333333333
0,21.2,39.4,17.79,44.4333333333,23.39,38.09,37.6175,2.09,56.09,22.6,38.3266666667,20.79,45.29,1.7833333333,752.4333333333,1,29.1666666667
0,21.2,39.3633333333,17.79,44.29,23.39,38.09,37.59,2.09,56.09,22.6,38.4,20.79,45.29,1.8,752.5,1,22
0,21.2,39.29,17.8566666667,44.3633333333,23.39,38.1266666667,37.59,2.1566666667,56.3,22.5,38.4333333333,20.79,45.29,2.0333333333,752.6166666667,1.1666666667,22.5
0,21.2,39.29,17.89,44.29,23.4633333333,38.26,37.656,2.43,56.7666666667,22.5,38.5,20.79,45.3266666667,2.2666666667,752.7333333333,1.3333333333,23
0,21.2,39.29,17.9633333333,44.23,23.4633333333,38.26,37.59,2.86,57.23,22.4633333333,38.5,20.79,45.4,2.5,752.85,1.5,23.5
0,21.2,39.6266666667,18,44.1933333333,23.39,38.2,37.572,3.225,57.52,22.39,38.56,20.79,45.345,2.7333333333,752.9666666667,1.6666666667,24
0,21.2,39.76,18.0666666667,44.4666666667,23.39,37.9666666667,37.4714285714,3.7666666667,57.99,22.39,38.6266666667,20.89,45.1933333333,2.9666666667,753.0833333333,1.8333333333,24.5
