c,d,e,f,g,h,I,k,n,o,r,s,t,u,v,w,y,z
30,19.89,47.5966666667,19.2,44.79,19.79,44.73,45.5666666667,7.0266666667,84.2566666667,18.2,48.9,17.0333333333,45.53,6.6,733.5,7,63
30,19.89,46.6933333333,19.2,44.7225,19.79,44.79,45.9925,6.8333333333,84.0633333333,18.2,48.8633333333,17.0666666667,45.56,6.4833333333,733.6,6.6666666667,59.1666666667
30,19.89,46.3,19.2,44.6266666667,19.79,44.9333333333,45.89,6.56,83.1566666667,18.2,48.73,17,45.5,6.3666666667,733.7,6.3333333333,55.3333333333
40,19.89,46.0666666667,19.2,44.59,19.79,45,45.7233333333,6.4333333333,83.4233333333,18.1,48.59,17,45.4,6.25,733.8,6,51.5
40,19.89,46.3333333333,19.2,44.53,19.79,45,45.53,6.3666666667,84.8933333333,18.1,48.59,17,45.4,6.1333333333,733.9,5.6666666667,47.6666666667
40,19.89,46.0266666667,19.2,44.5,19.79,44.9333333333,45.73,6.3,85.7666666667,18.1,48.59,17,45.29,6.0166666667,734,5.3333333333,43.8333333333
50,19.89,45.7666666667,19.2,44.5,19.79,44.9,45.79,6.2633333333,86.09,18.1,48.59,17,45.29,5.9,734.1,5,40
50,19.8566666667,45.56,19.2,44.5,19.73,44.9,45.8633333333,6.19,86.4233333333,18.1,48.59,17,45.29,5.9166666667,734.1666666667,5.1666666667,40
40,19.79,45.5975,19.2,44.4333333333,19.73,44.79,45.79,6.1233333333,87.2266666667,18.1,48.59,17,45.29,5.9333333333,734.2333333333,5.3333333333,40
40,19.8566666667,46.09,19.23,44.4,19.79,44.8633333333,46.0966666667,6.19,87.6266666667,18.1,48.59,17,45.29,5.95,734.3,5.5,40
70,19.9266666667,45.8633333333,19.3566666667,44.4,19.79,44.9,46.43,6.19,87.8666666667,18.1,48.59,17,45.29,5.9666666667,734.3666666667,5.6666666667,40
60,20.0666666667,46.3966666667,19.4266666667,44.4,19.79,44.8266666667,46.43,6.1233333333,87.9933333333,18.0666666667,48.6333333333,16.89,45.29,5.9833333333,734.4333333333,5.8333333333,40
50,20.1333333333,48,19.5666666667,44.4,19.89,44.9,46.3633333333,6.1233333333,88.59,18.0666666667,48.56,16.9633333333,45.29,6,734.5,6,40
40,20.26,52.7266666667,19.73,45.1,19.89,45.4933333333,47.2233333333,6.0675,88.215,18.0333333333,48.6666666667,16.89,45.3266666667,6,734.6166666667,6,40
10,20.4266666667,55.8933333333,19.8566666667,45.8333333333,20.0333333333,47.5266666667,48.6966666667,5.9,88.1566666667,18.1,49.1933333333,16.89,45.345,6,734.7333333333,6,40
10,20.5666666667,53.8933333333,20.0333333333,46.7566666667,20.1,48.4666666667,48.49,5.8,88.3666666667,18.15,49.2,16.89,45.3266666667,6,734.85,6,40
10,20.73,52.66,20.1666666667,47.2233333333,20.2,48.53,48.1566666667,5.7266666667,88.16,18.23,49.6333333333,16.89,45.29,6,734.9666666667,6,40
30,20.8566666667,53.66,20.2,47.0566666667,20.2,48.4475,47.9633333333,5.5266666667,87.3,18.3566666667,50.0266666667,16.89,45.29,6,735.0833333333,6,40
30,20.89,51.1933333333,20.2,46.33,20.2,48.1933333333,48.63,5.3333333333,86.76,18.5333333333,50.2,16.89,45.2,6,735.2,6,40
40,20.89,49.8,20.2,46.0266666667,20.1666666667,47.6333333333,49.5,5.3333333333,87.4633333333,18.6666666667,50.26,16.89,45.2,6,735.2333333333,6,40
20,20.89,48.4333333333,20.2,45.7225,20.1666666667,47.3,49.9475,5.4666666667,87.53,18.73,50.23,16.89,45.1266666667,6,735.2666666667,6,40
40,20.9633333333,47.6333333333,20.26,45.53,20.2,47.0266666667,49.6966666667,5.5,86.9566666667,18.8566666667,50.29,16.89,45.1266666667,6,735.3,6,40
40,21.0333333333,47.0633333333,20.29,45.2233333333,20.26,46.8266666667,49.1666666667,5.56,86.5633333333,18.89,50.1633333333,16.89,45.06,6,735.3333333333,6,40
40,21.1,46.5966666667,20.3566666667,44.9633333333,20.29,46.6333333333,48.4266666667,5.6233333333,86.33,18.9633333333,50.03,16.89,45,6,735.3666666667,6,40
30,21.1333333333,46.06,20.4266666667,44.76,20.29,46.4333333333,48.1933333333,5.7633333333,86.0633333333,19,49.76,16.89,44.9666666667,6,735.4,6,40
20,21.2,45.8,20.5,44.76,20.39,46.2233333333,47.8,5.6566666667,85.59,19.0666666667,49.7,16.89,44.9,5.9333333333,735.4666666667,6,40
30,21.29,45.9,20.5333333333,45.09,20.39,46.09,47.56,5.53,85.73,19.1333333333,49.6333333333,16.89,44.79,5.8666666667,735.5333333333,6,40
20,21.3566666667,45.8266666667,20.6666666667,45.1633333333,20.39,46.09,47.5,5.4333333333,86.3266666667,19.2,49.4333333333,16.89,44.79,5.8,735.6,6,40
20,21.39,45.69,20.7,45.06,20.39,46.09,47.9933333333,5.5,86.6,19.23,49.4,16.89,44.7,5.7333333333,735.6666666667,6,40
20,21.5,45.3333333333,20.7,44.9333333333,20.39,46.06,48.4666666667,5.59,86.4666666667,19.29,49.3266666667,16.89,44.7,5.6666666667,735.7333333333,6,40
20,21.5,45.1266666667,20.79,44.6333333333,20.39,46,48.0933333333,5.59,86.325,19.29,49.1633333333,16.8233333333,44.59,5.6,735.8,6,40
